id;geom;collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;status;source;comment
917;0101000020E610000087A8C29FE1595B400727A25F5B4F3840;courier;cou_311;LIUZHOU Guangxi (柳州);http://linkedplaces.org/places/cou_311;LIUZHOU Guangxi (柳州);109.404396;24.309988;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9560","names":["LIUZHOU Guangxi (柳州)"]}];;Y;MDYZK;
918;0101000020E61000004C37894160A95B40272F3201BFA23840;courier;cou_326;ZHAOJINYI Guangxi (昭津驿);http://linkedplaces.org/places/cou_326;ZHAOJINYI Guangxi (昭津驿);110.6465;24.635727;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9561","names":["ZHAOJINYI Guangxi (昭津驿)"]}];;N;MDYZK;
919;0101000020E6100000F6B4C35F93205C40BEF561BD51C74240;courier;cou_88;XUGOU Shanxi (徐沟);http://linkedplaces.org/places/cou_88;XUGOU Shanxi (徐沟);112.508995;37.557182;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_95625","names":["XUGOU Shanxi (徐沟)"]}];;Y;MDYZK;
920;0101000020E61000005455682096845B4034F3E49A02653740;courier;cou_308;XUNZHOU Guangxi (浔州);http://linkedplaces.org/places/cou_308;XUNZHOU Guangxi (浔州);110.071663;23.394571;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9564","names":["XUNZHOU Guangxi (浔州)"]}];;Y;MDYZK;
921;0101000020E61000009E5F94A0BFD35B40E17CEA58A57C3740;courier;cou_403;WUZHOU Guangxi (梧州);http://linkedplaces.org/places/cou_403;WUZHOU Guangxi (梧州);111.308571;23.486898;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9565","names":["WUZHOU Guangxi (梧州)"]}];;Y;MDYZK;
922;0101000020E6100000BC3D0801F9135B407CD5CA845FCE3640;courier;cou_303;NANNING Guangxi (南宁府);http://linkedplaces.org/places/cou_303;NANNING Guangxi (南宁府);108.312073;22.806145;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9566","names":["NANNING Guangxi (南宁府)"]}];;Y;MDYZK;
923;0101000020E6100000CEC4742156895B4012F758FAD0A13640;courier;cou_329;YULIN Guangxi (郁林);http://linkedplaces.org/places/cou_329;YULIN Guangxi (郁林);110.145882;22.632095;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9567","names":["YULIN Guangxi (郁林)"]}];;Y;MDYZK;
924;0101000020E6100000FCC6D79E59BB5A40C040102043CF4040;courier;cou_809;MADAOYI Shaanxi (马道驿);http://linkedplaces.org/places/cou_809;MADAOYI Shaanxi (马道驿);106.927345;33.619236;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_959","names":["MADAOYI Shaanxi (马道驿)"]}];;Y;MDYZK;
925;0101000020E61000008DEDB5A0F73B5C40D4BB783F6E8B4140;courier;cou_544;HUAIQINGFU Henan (覃怀驿);http://linkedplaces.org/places/cou_544;HUAIQINGFU Henan (覃怀驿);112.936989;35.089302;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9592","names":["HUAIQINGFU Henan (覃怀驿)"]}];;N;MDYZK;
926;0101000020E6100000FC1D8A027D185C40276893C327554140;courier;cou_541;ZHOUNANYI Henan (周南驿);http://linkedplaces.org/places/cou_541;ZHOUNANYI Henan (周南驿);112.38263;34.665276;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9595","names":["ZHOUNANYI Henan (周南驿)"]}];;N;MDYZK;
927;0101000020E610000088BD50C076745C40C231CB9E04044140;courier;cou_569;XUZHOUYI Henan (许州驿);http://linkedplaces.org/places/cou_569;XUZHOUYI Henan (许州驿);113.819748;34.031391;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9596","names":["XUZHOUYI Henan (许州驿)"]}];;N;MDYZK;
928;0101000020E610000066C1C41F45225C40B48F15FC36804040;courier;cou_591;WANCHENGYI Henan (宛城驿);http://linkedplaces.org/places/cou_591;WANCHENGYI Henan (宛城驿);112.535469;33.001678;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9599","names":["WANCHENGYI Henan (宛城驿)"]}];;N;MDYZK;
929;0101000020E6100000CA5356D3F5C95B40A60EF27A30654140;courier;cou_566;GUTANGYI Henan (甘棠驿);http://linkedplaces.org/places/cou_566;GUTANGYI Henan (甘棠驿);111.155629;34.790542;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9602","names":["GUTANGYI Henan (甘棠驿)"]}];;N;MDYZK;
930;0101000020E610000088D51F6118B45B40FBAE08FEB76A4040;courier;cou_704;YUNYANGYI Hubei (郧阳驿);http://linkedplaces.org/places/cou_704;YUNYANGYI Hubei (郧阳驿);110.813988;32.83374;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9603","names":["YUNYANGYI Hubei (郧阳驿)"]}];;Y;MDYZK;
931;0101000020E6100000323ECC5EB6255C4051FA42C8792B3F40;courier;cou_679;SHICHENGYI Hubei (石城驿);http://linkedplaces.org/places/cou_679;SHICHENGYI Hubei (石城驿);112.589256;31.169827;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9606","names":["SHICHENGYI Hubei (石城驿)"]}];;Y;MDYZK;
932;0101000020E61000005D8B16A06D945C402383DC45988A3E40;courier;cou_135;WUCHANGFU Hubei (武昌府);http://linkedplaces.org/places/cou_135;WUCHANGFU Hubei (武昌府);114.319191;30.541386;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9613","names":["WUCHANGFU Hubei (武昌府)"]}];;N;MDYZK;Wuchang f
933;0101000020E61000001172DEFFC76B5B40766F456282723B40;courier;cou_343;YUANSHUIYI Hunan (沅水驿);http://linkedplaces.org/places/cou_343;YUANSHUIYI Hunan (沅水驿);109.684082;27.447302;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9623","names":["YUANSHUIYI Hunan (沅水驿)"]}];;N;MDYZK;
934;0101000020E6100000BDFE243E776C5B404F58E20165933A40;courier;cou_352;JINGZHOU Hunan (靖州);http://linkedplaces.org/places/cou_352;JINGZHOU Hunan (靖州);109.694778;26.57576;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9625","names":["JINGZHOU Hunan (靖州)"]}];;Y;MDYZK;
935;0101000020E61000007A51BB5F05025B401A4E999B6F4C3E40;courier;cou_1014;YUNGENYI Chongqing (云根驿);http://linkedplaces.org/places/cou_1014;YUNGENYI Chongqing (云根驿);108.031578;30.298578;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_96603","names":["YUNGENYI Chongqing (云根驿)"]}];;L;MDYZK;
936;0101000020E610000060AC6F6072275A40EFE4D3635BC63C40;courier;cou_435;WENCHUANYI Sichuan (文川驿);http://linkedplaces.org/places/cou_435;WENCHUANYI Sichuan (文川驿);104.616356;28.774832;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_96620","names":["WENCHUANYI Sichuan (文川驿)"]}];;N;MDYZK;
937;0101000020E6100000D9278062642F5E40EB8D5A61FAE64240;courier;cou_647;DENGZHOUFU Shandong (登州府);http://linkedplaces.org/places/cou_647;DENGZHOUFU Shandong (登州府);120.740502;37.804516;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9668","names":["DENGZHOUFU Shandong (登州府)"]}];;Y;MDYZK;
938;0101000020E61000001AE1ED4108FC5D405F5E807D74964240;courier;cou_644;LAIZHOUFU Shandong (莱州府);http://linkedplaces.org/places/cou_644;LAIZHOUFU Shandong (莱州府);119.938004;37.17543;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9672","names":["LAIZHOUFU Shandong (莱州府)"]}];;Y;MDYZK;
939;0101000020E610000069FD2D01F8525C40BCE9961DE20B4440;courier;cou_618;YUNZHONGYI Shanxi (云中驿);http://linkedplaces.org/places/cou_618;YUNZHONGYI Shanxi (云中驿);113.296387;40.092838;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9680","names":["YUNZHONGYI Shanxi (云中驿)"]}];;L;MDYZK;
940;0101000020E61000005C7347FFCB2E5C40A532C51C04334340;courier;cou_603;JIUYUANYI Shanxi (九原驿);http://linkedplaces.org/places/cou_603;JIUYUANYI Shanxi (九原驿);112.731201;38.398563;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9684","names":["JIUYUANYI Shanxi (九原驿)"]}];;Y;MDYZK;
941;0101000020E6100000889FFF1EBC2C5C4000FDBE7FF3604240;courier;cou_630;QINYANGYI Shanxi (沁阳驿);http://linkedplaces.org/places/cou_630;QINYANGYI Shanxi (沁阳驿);112.698982;36.757431;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9692","names":["QINYANGYI Shanxi (沁阳驿)"]}];;Y;MDYZK;
942;0101000020E61000001AA88C7F9F465C40904DF2237E174240;courier;cou_632;ZHANGZEYI Shanxi (漳泽驿);http://linkedplaces.org/places/cou_632;ZHANGZEYI Shanxi (漳泽驿);113.103485;36.183537;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9693","names":["ZHANGZEYI Shanxi (漳泽驿)"]}];;N;MDYZK;
