uri	title	names
http://pleiades.stoa.org/places/383706	Mediolan(i)um	['Mediolanium', 'Mediolanum', 'Milan', 'Milano']
http://pleiades.stoa.org/places/383575	Argentea	['Argentea']
http://pleiades.stoa.org/places/383747	Pons Aureoli	['Pons Aureoli']
http://pleiades.stoa.org/places/383589	Bergomum	['Bergomum']
http://pleiades.stoa.org/places/383796	Tellegate	['Tellegate']
http://pleiades.stoa.org/places/383797	Tetellus	['Tetellus']
http://pleiades.stoa.org/places/383603	Brixia	['Brixia', 'Brescia']
http://pleiades.stoa.org/places/383546	Ad Flexum/Sermione Mansio	['Ad Flexum', 'Sermione Mansio']
http://pleiades.stoa.org/places/383588	Beneventum	['Beneventum']
http://pleiades.stoa.org/places/383816	Verona	['Verona']
http://pleiades.stoa.org/places/393396	Cadianum	['Cadianum']
http://pleiades.stoa.org/places/393387	Auraei	['Auraei']
http://pleiades.stoa.org/places/393513	Vicetia	['Vicetia', 'Vicenza']
http://pleiades.stoa.org/places/393361	Ad Finem	['Ad Finem']
http://pleiades.stoa.org/places/393473	Patavium	['Patavium', 'Padova']
http://pleiades.stoa.org/places/393359	Ad XII/Meduacus Maior	['Ad XII', 'Meduacus Maior']
http://pleiades.stoa.org/places/393358	Ad IX	['Ad IX']
http://pleiades.stoa.org/places/393374	Altinum	['Altinum']
http://pleiades.stoa.org/places/393369	Ad Sanos	['Ad Sanos']
http://pleiades.stoa.org/places/393441	Iulia Concordia	['Iulia Concordia']
http://pleiades.stoa.org/places/187287	‘Apicilia’	['Apicilia']
http://pleiades.stoa.org/places/187260	Ad Undecimum 1	['Ad Undecimum 1']
http://pleiades.stoa.org/places/187290	Aquileia	['Aquileia', 'Aquileia']
http://pleiades.stoa.org/places/187261	Ad Undecimum 2	['Ad Undecimum 2']
http://pleiades.stoa.org/places/197063	*Ad Fornulos	['Ad Fornulos']
http://pleiades.stoa.org/places/197276	Fluvio Frigido/Castra	['Fluvio Frigido', 'Castra']
http://pleiades.stoa.org/places/197317	In Alpe Iulia/Ad Pirum	['In Alpe Iulia', 'Ad Pirum']
http://pleiades.stoa.org/places/197357	Longaticum	['Longaticum']
http://pleiades.stoa.org/places/197076	Ad Nonum	['Ad Nonum']
http://pleiades.stoa.org/places/197258	Emona	['Emona', 'Ljubljana']
http://pleiades.stoa.org/places/197082	Ad Quartodecimum	['Ad Quartodecimum']
http://pleiades.stoa.org/places/197147	Atrans	['Atrans']
http://pleiades.stoa.org/places/197072	Ad Medias	['Ad Medias']
http://pleiades.stoa.org/places/197206	Celeia	['Celeia', 'Celje']
http://pleiades.stoa.org/places/197069	Ad Lotodos	['Ad Lotodos']
http://pleiades.stoa.org/places/197467	Ragando	['Ragando']
http://pleiades.stoa.org/places/197460	Pultovia	['Pultovia']
http://pleiades.stoa.org/places/197446	Poetovio	['Poetovio']
http://pleiades.stoa.org/places/197468	Ramista	['Ramista', 'Formin']
http://pleiades.stoa.org/places/197129	Aqua Viva	['Aqua Viva']
http://pleiades.stoa.org/places/197454	Populi	['Populi']
http://pleiades.stoa.org/places/197326	Iovia	['Iovia']
http://pleiades.stoa.org/places/197522	Sonista	['Sonista']
http://pleiades.stoa.org/places/197440	‘Piretis’	['Piretis']
http://pleiades.stoa.org/places/197348	‘Lentulis’	['Lentulis']
http://pleiades.stoa.org/places/197191	‘Cardono’/Iovia	['Cardono', 'Iovia']
http://pleiades.stoa.org/places/197215	‘Cocconis’	['Cocconis']
http://pleiades.stoa.org/places/197508	Serota	['Serota']
http://pleiades.stoa.org/places/203108	Bolentia	['Bolentia']
http://pleiades.stoa.org/places/197370	‘Marinianis’/Magniana	['Marinianis', 'Magniana']
http://pleiades.stoa.org/places/197507	Serena?	['Serena']
http://pleiades.stoa.org/places/197576	‘Vereis’	['Vereis']
http://pleiades.stoa.org/places/197325	Iovalia	['Iovalia']
http://pleiades.stoa.org/places/197391	Mursella	['Mursella', 'Mursa Minor', 'Mersella']
http://pleiades.stoa.org/places/197389	Mursa	['Mursa', 'Osijek']
http://pleiades.stoa.org/places/197065	Ad Labores Pontis Ulcae/‘Leutuoano’	['Ad Labores Pontis Ulcae', 'Leutuoano']
http://pleiades.stoa.org/places/197207	Cibalae	['Cibalae']
http://pleiades.stoa.org/places/197204	Causilena	['Causilena']
http://pleiades.stoa.org/places/207525	‘Ulmo’	['Ulmo']
http://pleiades.stoa.org/places/207460	Spaneta	['Spaneta']
http://pleiades.stoa.org/places/206995	Budalia	['Budalia']
http://pleiades.stoa.org/places/207447	Sirmium	['Sirmium', 'Sremska Mitrovica']
http://pleiades.stoa.org/places/207120	Fossae	['Fossae']
http://pleiades.stoa.org/places/206960	Bassiana	['Bassiana']
http://pleiades.stoa.org/places/207313	‘Noviciani’	['Noviciani']
