collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches
bordeaux;bor_264;antiochia;http://linkedplaces.org/places/bor_264;Antiochia;36.165318;36.200663;[{"uri":"http://pleiades.stoa.org/places/658381","names":['Antiochia', 'Theoupolis', 'Iopolis', 'Antiocheia epi Daphnē, Antiocheia on Daphne', 'Anṭaqya', 'Antiocheia', 'Antakya', 'Anṭākiya, Antakiya, Antakiyah, Antakiyya, Antakiyyah', 'Anṭaḳya, Antaqya', 'Anṭākya', 'Anṭakya, Antakya', 'Antiochia', 'Antiochia', 'Hatay', 'III Gallica (Vesp.) garrison, III Gallica (Vespasian) garrison', 'Antiocheia am Orontes', 'Antiocheia am Orontēs, Antiocheia epi Orontou, Antiocheia on the Orontes']}];
bordeaux;bor_146;margo;http://linkedplaces.org/places/bor_146;Margo;21.077871;44.696115;[{"uri":"http://pleiades.stoa.org/places/207267","names":['Margum']}];
bordeaux;bor_88;vincentia;http://linkedplaces.org/places/bor_88;Vincentia;11.5403;45.5459;[{"uri":"http://pleiades.stoa.org/places/393513","names":['Vicetia', 'Vicenza']}];
bordeaux;bor_260;baiae;http://linkedplaces.org/places/bor_260;Baiae;36.25;36.75;[{"uri":"http://pleiades.stoa.org/places/658394","names":['Baiae']}];
bordeaux;bor_60;ad marte;http://linkedplaces.org/places/bor_60;Ad Marte;6.8336348;45.0333246;[{"uri":"http://pleiades.stoa.org/places/167617","names":['Ad Martis']}];
bordeaux;bor_206;nicomedia;http://linkedplaces.org/places/bor_206;Nicomedia;29.923486;40.76445;[{"uri":"http://pleiades.stoa.org/places/511337","names":['Nicomedia', 'Nikomēdeia, Nikomedeia, Nikomedia', 'Nikomedia', 'Nikomēdia', 'Nikomedeia', 'Kocaeli, Kodjaeli, Kodja-Eli, Koja-Eli', 'İzmid, Izmid', 'İzniḳmid, Iznikmid, Izniqmid, Izniqmid', 'İznikmid, Iznikmid', 'İznikmit, Iznikmit', 'İzmit, Izmit, Ismid', 'Olbia', 'Niqumūdiya, Niqumudiya, Niqumudiyah, Niqumudiyya, Niqumudiyyah, Niqumudiye, Niqumudiyeh, Niqumudiyye, Niqumudiyyeh', 'Ismid']}];
bordeaux;bor_9;vanesia;http://linkedplaces.org/places/bor_9;Vanesia;0.377856;43.724899;[{"uri":"http://pleiades.stoa.org/places/246727","names":['Vanesia']}];
bordeaux;bor_291;scithopoli;http://linkedplaces.org/places/bor_291;Scithopoli;35.50196;32.502074;[{"uri":"http://pleiades.stoa.org/places/678378","names":['Scythopolis', 'Nysa']}];
bordeaux;bor_147;viminacio;http://linkedplaces.org/places/bor_147;Viminacio;21.216122;44.736776;[{"uri":"http://pleiades.stoa.org/places/207549","names":['Viminacium', 'Stari Kostolac']}];
bordeaux;bor_89;ad finem;http://linkedplaces.org/places/bor_89;Ad Finem;11.71983;45.46073;[{"uri":"http://pleiades.stoa.org/places/393361","names":['Ad Finem']}];
bordeaux;bor_10;auscius;http://linkedplaces.org/places/bor_10;Auscius;0.5852;43.6477;[{"uri":"http://pleiades.stoa.org/places/246379","names":['Elimberrum', 'Climberrum', 'Elimberrum Ausciorum Augusta', 'Auch']}];
bordeaux;bor_292;aser;http://linkedplaces.org/places/bor_292;Aser;35.396311;32.339109;[{"uri":"http://pleiades.stoa.org/places/678034","names":['Aser']}];
bordeaux;bor_90;pataui;http://linkedplaces.org/places/bor_90;Pataui;11.8766;45.4096;[{"uri":"http://pleiades.stoa.org/places/393473","names":['Patavium', 'Padova']}];
bordeaux;bor_91;ad duodecimum;http://linkedplaces.org/places/bor_91;Ad Duodecimum;12.10001;45.4132;[{"uri":"http://pleiades.stoa.org/places/393359","names":['Ad XII', 'Meduacus Maior']}];
bordeaux;bor_148;ad nonum;http://linkedplaces.org/places/bor_148;Ad Nonum;21.252172;44.625633;[{"uri":"http://pleiades.stoa.org/places/206887","names":['Ad Nonum']}];
bordeaux;bor_12;hungunuerro;http://linkedplaces.org/places/bor_12;Hungunuerro;0.91825;43.594998;[{"uri":"http://pleiades.stoa.org/places/246420","names":['Hungunverro']}];
bordeaux;bor_265;palatium dafne;http://linkedplaces.org/places/bor_265;Palatium Dafne;36.142802;36.130422;[{"uri":"http://pleiades.stoa.org/places/658450","names":['Daphne']}];
bordeaux;bor_92;ad nonum;http://linkedplaces.org/places/bor_92;Ad Nonum;12.2770176;45.4814175;[{"uri":"http://pleiades.stoa.org/places/393358","names":['Ad IX']}];
bordeaux;bor_13;bucconis;http://linkedplaces.org/places/bor_13;Bucconis;1.085786;43.611763;[{"uri":"http://pleiades.stoa.org/places/246260","names":['Bucconis']}];
bordeaux;bor_149;munecipio;http://linkedplaces.org/places/bor_149;Munecipio;21.320729;44.514234;[{"uri":"http://pleiades.stoa.org/places/207296","names":['Municipium']}];
bordeaux;bor_207;hyribolum;http://linkedplaces.org/places/bor_207;Hyribolum;29.8944;40.6939;[{"uri":"http://pleiades.stoa.org/places/511253","names":['Eribolon']}];
bordeaux;bor_93;altino;http://linkedplaces.org/places/bor_93;Altino;12.3994439;45.5462452;[{"uri":"http://pleiades.stoa.org/places/393374","names":['Altinum']}];
bordeaux;bor_266;hysdata;http://linkedplaces.org/places/bor_266;Hysdata;35.93815;36.11705;[{"uri":"http://pleiades.stoa.org/places/658483","names":['Hydatos Potamoi', 'Seleukeia Pieria']}];
bordeaux;bor_208;libum;http://linkedplaces.org/places/bor_208;Libum;29.686075;40.631587;[{"uri":"http://pleiades.stoa.org/places/511304","names":['Libum']}];
bordeaux;bor_150;iouis pago;http://linkedplaces.org/places/bor_150;Iouis Pago;21.32354;44.411467;[{"uri":"http://pleiades.stoa.org/places/207189","names":['Iovis Pagus']}];
bordeaux;bor_14;ad iouem;http://linkedplaces.org/places/bor_14;Ad Iouem;1.276984;43.604874;[{"uri":"http://pleiades.stoa.org/places/246136","names":['Ad Iovem']}];
bordeaux;bor_237;andrapa;http://linkedplaces.org/places/bor_237;Andrapa;33.533769;39.1327905;[{"uri":"http://pleiades.stoa.org/places/619106","names":['Andraka', 'Andrapa']}];
bordeaux;bor_94;sanos;http://linkedplaces.org/places/bor_94;Sanos;12.69068;45.71343;[{"uri":"http://pleiades.stoa.org/places/393369","names":['Ad Sanos']}];
bordeaux;bor_209;liada;http://linkedplaces.org/places/bor_209;Liada;29.668747;40.559956;[{"uri":"http://pleiades.stoa.org/places/511302","names":['Liada']}];
bordeaux;bor_151;bao;http://linkedplaces.org/places/bor_151;Bao;21.43527;44.317278;[{"uri":"http://pleiades.stoa.org/places/206958","names":['Bao']}];
