collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;status;source;comment
courier;cou_87;TUANYANG Henan (湍阳驿);http://linkedplaces.org/places/cou_87;TUANYANG Henan (湍阳驿);112.358429;32.524872;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_82753","names":["TUANYANG Henan (湍阳驿)"]}];;Y;MDYZK;
courier;cou_107;ZHISHUI Henan (滍水驿);http://linkedplaces.org/places/cou_107;ZHISHUI Henan (滍水驿);113.345528;33.623302;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_82812","names":["ZHISHUI Henan (滍水驿)"]}];;Y;MDYZK;
courier;cou_123;LINYING Henan (临颖驿);http://linkedplaces.org/places/cou_123;LINYING Henan (临颖驿);113.96064;33.808605;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_83025","names":["LINYING Henan (临颖驿)"]}];;Y;MDYZK;
courier;cou_124;YANCHENG Henan (郾城驿);http://linkedplaces.org/places/cou_124;YANCHENG Henan (郾城驿);113.965698;33.582211;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_83038","names":["YANCHENG Henan (郾城驿)"]}];;Y;MDYZK;Should be Yancheng Xian
courier;cou_150;WUYUN Jiangxi (五云驿);http://linkedplaces.org/places/cou_150;WUYUN Jiangxi (五云驿);114.779678;26.461769;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_831","names":["WUYUN Jiangxi (五云驿)"]}];;Y;MDYZK;
courier;cou_138;HENGPUYI Jiangxi (横浦驿);http://linkedplaces.org/places/cou_138;HENGPUYI Jiangxi (横浦驿);114.350571;25.399954;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_839","names":["HENGPUYI Jiangxi (横浦驿)"]}];;N;MDYZK;
courier;cou_526;WANQUAN Hebei (万全);http://linkedplaces.org/places/cou_526;WANQUAN Hebei (万全);114.734733;40.864902;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_84","names":["WANQUAN Hebei (万全)"]}];;Y;MDYZK;
courier;cou_127;WEIYUANYI Henan (卫源驿);http://linkedplaces.org/places/cou_127;WEIYUANYI Henan (卫源驿);114.070267;35.410385;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_84003","names":["WEIYUANYI Henan (卫源驿)"]}];;N;MDYZK;Weihui
courier;cou_525;ZHANGJIAKOU Hebei (张家口);http://linkedplaces.org/places/cou_525;ZHANGJIAKOU Hebei (张家口);114.885941;40.791256;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_85","names":["ZHANGJIAKOU Hebei (张家口)"]}];;N;PA_1903;
courier;cou_130;TAIBAI Shanxi (太白驿);http://linkedplaces.org/places/cou_130;TAIBAI Shanxi (太白驿);114.229218;39.437744;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_85075","names":["TAIBAI Shanxi (太白驿)"]}];;Y;MDYZK;
courier;cou_187;DONGYUAN Shandong (东原驿);http://linkedplaces.org/places/cou_187;DONGYUAN Shandong (东原驿);116.299171;35.910343;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_85704","names":["DONGYUAN Shandong (东原驿)"]}];;Y;MDYZK;
courier;cou_196;CHANGPINGYI Shandong (昌平驿);http://linkedplaces.org/places/cou_196;CHANGPINGYI Shandong (昌平驿);116.8237;35.556698;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_86005","names":["CHANGPINGYI Shandong (昌平驿)"]}];;Y;MDYZK;YANZHOUFU
courier;cou_201;TANGCHENGYI Shandong (谭城驿);http://linkedplaces.org/places/cou_201;TANGCHENGYI Shandong (谭城驿);117.001488;36.650131;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_86025","names":["TANGCHENGYI Shandong (谭城驿)"]}];;N;MDYZK;JI'NANFU
courier;cou_186;ANDE Shandong (安德);http://linkedplaces.org/places/cou_186;ANDE Shandong (安德);116.287415;37.451645;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_86034","names":["ANDE Shandong (安德)"]}];;Y;MDYZK;
courier;cou_180;YUQIU Shandong (鱼丘驿);http://linkedplaces.org/places/cou_180;YUQIU Shandong (鱼丘驿);116.231003;36.861622;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_86042","names":["YUQIU Shandong (鱼丘驿)"]}];;Y;MDYZK;
courier;cou_167;XUANHUAYI Hebei (宣化驿);http://linkedplaces.org/places/cou_167;XUANHUAYI Hebei (宣化驿);115.774193;39.269592;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_87673","names":["XUANHUAYI Hebei (宣化驿)"]}];;N;MDYZK;
courier;cou_156;YONGDING Hebei (永定驿);http://linkedplaces.org/places/cou_156;YONGDING Hebei (永定驿);114.975044;38.520061;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_87864","names":["YONGDING Hebei (永定驿)"]}];;Y;MDYZK;
courier;cou_140;CIZHOU Hebei (磁州);http://linkedplaces.org/places/cou_140;CIZHOU Hebei (磁州);114.374245;36.359043;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_87977","names":["CIZHOU Hebei (磁州)"]}];;P;PA_1903;
courier;cou_173;YINGHAIYI Hebei (瀛海驿);http://linkedplaces.org/places/cou_173;YINGHAIYI Hebei (瀛海驿);116.085533;38.435699;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_88003","names":["YINGHAIYI Hebei (瀛海驿)"]}];;N;MDYZK;
courier;cou_182;DONGGUANG Hebei (东光驿);http://linkedplaces.org/places/cou_182;DONGGUANG Hebei (东光驿);116.258102;37.688007;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_88043","names":["DONGGUANG Hebei (东光驿)"]}];;Y;MDYZK;
courier;cou_143;ZHONGQIUYI Hebei (中丘驿);http://linkedplaces.org/places/cou_143;ZHONGQIUYI Hebei (中丘驿);114.511864;37.295002;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_88173","names":["ZHONGQIUYI Hebei (中丘驿)"]}];;N;MDYZK;
courier;cou_170;ZHULUYI Hebei (逐鹿驿);http://linkedplaces.org/places/cou_170;ZHULUYI Hebei (逐鹿驿);115.968147;39.487221;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_88193","names":["ZHULUYI Hebei (逐鹿驿)"]}];;N;MDYZK;ZHULU
courier;cou_206;YUYANG Tianjin (渔阳驿);http://linkedplaces.org/places/cou_206;YUYANG Tianjin (渔阳驿);117.401817;40.043865;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_88212","names":["YUYANG Tianjin (渔阳驿)"]}];;Y;MDYZK;
courier;cou_225;LUANHE Hebei (滦河驿);http://linkedplaces.org/places/cou_225;LUANHE Hebei (滦河驿);118.862;39.876999;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_88307","names":["LUANHE Hebei (滦河驿)"]}];;Y;MDYZK;
courier;cou_211;YANGFAN Hebei (阳樊驿);http://linkedplaces.org/places/cou_211;YANGFAN Hebei (阳樊驿);117.754776;39.883671;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_88317","names":["YANGFAN Hebei (阳樊驿)"]}];;Y;MDYZK;
courier;cou_214;YIFENG Hebei (义丰驿);http://linkedplaces.org/places/cou_214;YIFENG Hebei (义丰驿);118.134895;39.827602;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_88318","names":["YIFENG Hebei (义丰驿)"]}];;Y;MDYZK;
courier;cou_149;ZHAOZHOU Hebei (鄗城驿);http://linkedplaces.org/places/cou_149;ZHAOZHOU Hebei (鄗城驿);114.772179;37.752926;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_88333","names":["ZHAOZHOU Hebei (鄗城驿)"]}];;N;MDYZK;
courier;cou_766;BAODEZHOU Shaanxi (保德州);http://linkedplaces.org/places/cou_766;BAODEZHOU Shaanxi (保德州);111.07457;39.032143;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_910","names":["BAODEZHOU Shaanxi (保德州)"]}];;Y;MDYZK;
courier;cou_507;LINMINGYI Hebei (临铭驿);http://linkedplaces.org/places/cou_507;LINMINGYI Hebei (临铭驿);114.499619;36.936829;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_93","names":["LINMINGYI Hebei (临铭驿)"]}];;Y;MDYZK;
courier;cou_786;WEISHUIYI Shaanxi (渭水驿);http://linkedplaces.org/places/cou_786;WEISHUIYI Shaanxi (渭水驿);108.709946;34.339054;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_931","names":["WEISHUIYI Shaanxi (渭水驿)"]}];;Y;MDYZK;
courier;cou_98;YANMEN Shanxi (雁门驿);http://linkedplaces.org/places/cou_98;YANMEN Shanxi (雁门驿);112.949043;39.06039;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_94024","names":["YANMEN Shanxi (雁门驿)"]}];;Y;MDYZK;
courier;cou_75;HUOSHAN Shanxi (霍山驿);http://linkedplaces.org/places/cou_75;HUOSHAN Shanxi (霍山驿);111.728081;36.563824;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_94042","names":["HUOSHAN Shanxi (霍山驿)"]}];;Y;MDYZK;
courier;cou_71;JIANXIONG Shanxi (建雄驿);http://linkedplaces.org/places/cou_71;JIANXIONG Shanxi (建雄驿);111.515434;36.078037;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_94068","names":["JIANXIONG Shanxi (建雄驿)"]}];;Y;MDYZK;
courier;cou_735;SHUNYIYI Shaanxi (顺义驿);http://linkedplaces.org/places/cou_735;SHUNYIYI Shaanxi (顺义驿);108.971466;34.913269;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_942","names":["SHUNYIYI Shaanxi (顺义驿)"]}];;Y;MDYZK;
courier;cou_736;ZHAIDAOYI Shaanxi (翟道驿);http://linkedplaces.org/places/cou_736;ZHAIDAOYI Shaanxi (翟道驿);109.263817;35.589474;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_944","names":["ZHAIDAOYI Shaanxi (翟道驿)"]}];;N;MDYZK;
