collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;variants_obj;variants
owtrad;owt_2297;Kobbei;http://linkedplaces.org/owtrad/places/owt_2297;Kobbei;23.9667;14.0667;[{"uri":"http://api.geonames.org/getJSON?geonameId=372319&username=kgeographer&style=full","names":["Kobbei"]}];;[{"id" : 9269, "variant" : "Kobbai", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9269, "variant" : "Kobbai", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9270, "variant" : "Kobbei", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9270, "variant" : "Kobbei", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9271, "variant" : "Kobi", "source" : "al-Naqar 1972:map", "precision" : "exact", "identity" : "exact"}, {"id" : 9271, "variant" : "Kobi", "source" : "al-Naqar 1972:map", "precision" : "exact", "identity" : "exact"}];{Kobbai,Kobbei,Kobi}
owtrad;owt_2298;Al Fashir;http://linkedplaces.org/owtrad/places/owt_2298;Al Fashir;25.35;13.6333;[{"uri":"http://api.geonames.org/getJSON?geonameId=379555&username=kgeographer&style=full","names":["El Fasher"]}];;[{"id" : 9272, "variant" : "Al Fashir", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9273, "variant" : "El Fasher", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9274, "variant" : "Fasher", "source" : "al-Naqar 1972:map", "precision" : "exact", "identity" : "exact"}, {"id" : 9275, "variant" : "Tendelti", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}];{"Al Fashir","El Fasher",Fasher,Tendelti}
owtrad;owt_23;Banghazi;http://linkedplaces.org/owtrad/places/owt_23;Banghazi;20.066668;32.116669;[{"uri":"http://api.geonames.org/getJSON?geonameId=88319&username=kgeographer&style=full","names":["Benghazi"]}];;[{"id" : 149, "variant" : "Banghazi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 149, "variant" : "Banghazi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 149, "variant" : "Banghazi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 150, "variant" : "Bengasi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 150, "variant" : "Bengasi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 150, "variant" : "Bengasi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 151, "variant" : "Bengazi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 151, "variant" : "Bengazi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 151, "variant" : "Bengazi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 152, "variant" : "Benghasi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 152, "variant" : "Benghasi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 152, "variant" : "Benghasi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 153, "variant" : "Benghazi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 153, "variant" : "Benghazi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 153, "variant" : "Benghazi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 154, "variant" : "Berenice", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 154, "variant" : "Berenice", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 154, "variant" : "Berenice", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 155, "variant" : "Binghazi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 155, "variant" : "Binghazi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 155, "variant" : "Binghazi", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 156, "variant" : "Hesperides", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 156, "variant" : "Hesperides", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 156, "variant" : "Hesperides", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Banghazi,Bengasi,Bengazi,Benghasi,Benghazi,Berenice,Binghazi,Hesperides}
owtrad;owt_230;Shanshan;http://linkedplaces.org/owtrad/places/owt_230;Shanshan;90.166664;42.866669;[{"uri":"http://api.geonames.org/getJSON?geonameId=1529214&username=kgeographer&style=full","names":["Shanshan"]}];;[{"id" : 1392, "variant" : "Ears of the Gobi (2)", "source" : "Cable & French 1942:283", "precision" : "exact", "identity" : "exact"}, {"id" : 1392, "variant" : "Ears of the Gobi (2)", "source" : "Cable & French 1942:283", "precision" : "exact", "identity" : "exact"}, {"id" : 1393, "variant" : "P'i-chan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1393, "variant" : "P'i-chan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1394, "variant" : "Pichan", "source" : "Cable & French 1942:283", "precision" : "exact", "identity" : "exact"}, {"id" : 1394, "variant" : "Pichan", "source" : "Cable & French 1942:283", "precision" : "exact", "identity" : "exact"}, {"id" : 1395, "variant" : "Pichang", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1395, "variant" : "Pichang", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1396, "variant" : "Piqan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1396, "variant" : "Piqan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1397, "variant" : "Pitschuang", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1397, "variant" : "Pitschuang", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1398, "variant" : "Shan-shan", "source" : "Geelan & Twitchett :6", "precision" : "exact", "identity" : "exact"}, {"id" : 1398, "variant" : "Shan-shan", "source" : "Geelan & Twitchett :6", "precision" : "exact", "identity" : "exact"}, {"id" : 1399, "variant" : "Shan-shan-ch'eng", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1399, "variant" : "Shan-shan-ch'eng", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1400, "variant" : "Shan-shan-chen", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1400, "variant" : "Shan-shan-chen", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1401, "variant" : "Shan-shan-hsien", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1401, "variant" : "Shan-shan-hsien", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1402, "variant" : "Shanshan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1402, "variant" : "Shanshan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1403, "variant" : "Shanshar", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1403, "variant" : "Shanshar", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{"Ears of the Gobi (2)",P'i-chan,Pichan,Pichang,Piqan,Pitschuang,Shan-shan,Shan-shan-ch'eng,Shan-shan-chen,Shan-shan-hsien,Shanshan,Shanshar}
owtrad;owt_2300;Shendi;http://linkedplaces.org/owtrad/places/owt_2300;Shendi;33.4342;16.6914;[{"uri":"http://api.geonames.org/getJSON?geonameId=367308&username=kgeographer&style=full","names":["Shendi"]}];;[{"id" : 9278, "variant" : "Shandi", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9279, "variant" : "Shendi", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9280, "variant" : "Shindi", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}];{Shandi,Shendi,Shindi}
owtrad;owt_2301;Ad-Damar;http://linkedplaces.org/owtrad/places/owt_2301;Ad-Damar;33.9592;17.5928;[{"uri":"http://api.geonames.org/getJSON?geonameId=380173&username=kgeographer&style=full","names":["Ed Damer"]}];;[{"id" : 9281, "variant" : "Ad Damir", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9282, "variant" : "Ad-Damar", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9283, "variant" : "Damar", "source" : "al-Naqar 1972:map", "precision" : "exact", "identity" : "exact"}, {"id" : 9284, "variant" : "Ed Damer", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9285, "variant" : "El Damar", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}];{"Ad Damir",Ad-Damar,Damar,"Ed Damer","El Damar"}
owtrad;owt_2302;Umm Durman;http://linkedplaces.org/owtrad/places/owt_2302;Umm Durman;32.4372;15.6361;[{"uri":"http://api.geonames.org/getJSON?geonameId=365137&username=kgeographer&style=full","names":["Omdurman"]}];;[{"id" : 9286, "variant" : "Omdurman", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9287, "variant" : "Umdurman", "source" : "al-Naqar 1972:map", "precision" : "exact", "identity" : "exact"}, {"id" : 9288, "variant" : "Umm Durman", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}];{Omdurman,Umdurman,"Umm Durman"}
owtrad;owt_2303;Al Ubayyid;http://linkedplaces.org/owtrad/places/owt_2303;Al Ubayyid;30.2167;13.1833;[{"uri":"http://api.geonames.org/getJSON?geonameId=379003&username=kgeographer&style=full","names":["El Obeid"]}];;[{"id" : 9289, "variant" : "Al Obayyid", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9290, "variant" : "Al Ubayd", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9291, "variant" : "Al Ubayyid", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9292, "variant" : "El Obeid", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9293, "variant" : "El Ubeiyad", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9294, "variant" : "Obied", "source" : "al-Naqar 1972:map", "precision" : "exact", "identity" : "exact"}];{"Al Obayyid","Al Ubayd","Al Ubayyid","El Obeid","El Ubeiyad",Obied}
owtrad;owt_2304;Sannar;http://linkedplaces.org/owtrad/places/owt_2304;Sannar;33.6333;13.55;[{"uri":"http://api.geonames.org/getJSON?geonameId=367644&username=kgeographer&style=full","names":["Sinnar"]}];;[{"id" : 9295, "variant" : "Sannar", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9296, "variant" : "Sennaar", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9297, "variant" : "Sennar", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9298, "variant" : "Sinnar", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}];{Sannar,Sennaar,Sennar,Sinnar}
owtrad;owt_2305;An Nuhud;http://linkedplaces.org/owtrad/places/owt_2305;An Nuhud;28.4333;12.7;[{"uri":"http://api.geonames.org/getJSON?geonameId=378699&username=kgeographer&style=full","names":["An Nuhūd"]}];;[{"id" : 9299, "variant" : "An Nahud", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9300, "variant" : "An Nuhud", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9301, "variant" : "En Nahud", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9302, "variant" : "Nahad", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 9303, "variant" : "Nuhud", "source" : "al-Naqar 1972:map", "precision" : "exact", "identity" : "exact"}];{"An Nahud","An Nuhud","En Nahud",Nahad,Nuhud}
