id;geom;collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;variants_obj;variants
1930;0101000020E61000003333333333035A40CDCCCCCCCCEC4740;owtrad;owt_3730;Suuj;http://linkedplaces.org/owtrad/places/owt_3730;Suuj;104.05;47.85;[{"uri":"http://sws.geonames/2029117","names":["Dashinchilling"]}];;[{"id" : 14850, "variant" : "Dashinchilin Suma", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14855, "variant" : "Suuj", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14848, "variant" : "Dashichiling sumu", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14847, "variant" : "Dashichiling", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14853, "variant" : "Dashinchiling Suma", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14852, "variant" : "Dashinchiling Somon", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14854, "variant" : "Dashinchilling", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14851, "variant" : "Dashinchiling", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14849, "variant" : "Dashinchilen", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}];{Dashichiling,"Dashichiling sumu",Dashinchilen,"Dashinchilin Suma",Dashinchiling,"Dashinchiling Somon","Dashinchiling Suma",Dashinchilling,Suuj}
1944;0101000020E61000000000000000A05C40545227A089084840;owtrad;owt_3743;Choybalsan;http://linkedplaces.org/owtrad/places/owt_3743;Choybalsan;114.5;48.0667;[{"uri":"http://sws.geonames/2030392","names":["Hulstay"]}];;[{"id" : 14952, "variant" : "Kyrylun", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14937, "variant" : "Bayan Tumen", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14938, "variant" : "Bayn-Tumen", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14940, "variant" : "Choibalsan", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14942, "variant" : "Choybalsan", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14946, "variant" : "Karulen", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14945, "variant" : "K'o-lu-lun", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14959, "variant" : "Urgo", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14950, "variant" : "Kerulyun", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14948, "variant" : "Kerulen Urgo", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14949, "variant" : "Kerulun", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14958, "variant" : "Say-Beyse", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14953, "variant" : "Pa-yin-t'u-men", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14957, "variant" : "San-beyse", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14939, "variant" : "Brin Tumen", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14955, "variant" : "San Beisa-Urgo", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14951, "variant" : "Kurulun", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14943, "variant" : "Choybolsan", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14941, "variant" : "Choibolsan", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14936, "variant" : "Baintomenhashu", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14935, "variant" : "Bain Tumen", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14944, "variant" : "Herelen", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14956, "variant" : "San Beise", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14947, "variant" : "Kerulen", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14954, "variant" : "Sain Beise", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}];{"Bain Tumen",Baintomenhashu,"Bayan Tumen",Bayn-Tumen,"Brin Tumen",Choibalsan,Choibolsan,Choybalsan,Choybolsan,Herelen,K'o-lu-lun,Karulen,Kerulen,"Kerulen Urgo",Kerulun,Kerulyun,Kurulun,Kyrylun,Pa-yin-t'u-men,"Sain Beise","San Beisa-Urgo","San Beise",San-beyse,Say-Beyse,Urgo}
1931;0101000020E61000000000000000505A40BBB88D06F0EE4740;owtrad;owt_3731;Lun;http://linkedplaces.org/owtrad/places/owt_3731;Lun;105.25;47.8667;[{"uri":"http://sws.geonames/2030085","names":["Sujji"]}];;[{"id" : 14861, "variant" : "Lung sumu", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14858, "variant" : "Lung", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14857, "variant" : "Lun Suma", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14866, "variant" : "Sujji", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14864, "variant" : "Lyung Somon", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14865, "variant" : "Rungein-buran", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14859, "variant" : "Lung Somon", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14856, "variant" : "Lun", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14860, "variant" : "Lung Suma", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14862, "variant" : "Lung Ula", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14863, "variant" : "Lyun somon", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}];{Lun,"Lun Suma",Lung,"Lung Somon","Lung Suma","Lung Ula","Lung sumu","Lyun somon","Lyung Somon",Rungein-buran,Sujji}
1932;0101000020E61000003CBD529621925A4012143FC6DC1D4840;owtrad;owt_3732;Ihsuuj;http://linkedplaces.org/owtrad/places/owt_3732;Ihsuuj;106.2833;48.2333;[{"uri":"http://sws.geonames/2030218","names":["Ihsüüj"]}];;[{"id" : 14867, "variant" : "Bayanchandmani", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14868, "variant" : "Ihsuuj", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}];{Bayanchandmani,Ihsuuj}
1933;0101000020E61000000B24287E8C855A40B1E1E995B2744840;owtrad;owt_3733;Bayangol;http://linkedplaces.org/owtrad/places/owt_3733;Bayangol;106.0867;48.9117;[{"uri":"http://sws.geonames/2032925","names":["Ara Bayan Gol"]}];;[{"id" : 14874, "variant" : "Bayangol Sume", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14876, "variant" : "Khara", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14872, "variant" : "Bayan-gol somon", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14871, "variant" : "Bayan gol sumu", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14869, "variant" : "Bain-gol", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14875, "variant" : "Hara", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14873, "variant" : "Bayangol", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14870, "variant" : "Bayan Gol Suma", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14877, "variant" : "Pa-yen-kuo-lo", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}];{Bain-gol,"Bayan Gol Suma","Bayan gol sumu","Bayan-gol somon",Bayangol,"Bayangol Sume",Hara,Khara,Pa-yen-kuo-lo}
1934;0101000020E6100000EC2FBB270F7B5A404A7B832F4CBE4840;owtrad;owt_3734;Darhan;http://linkedplaces.org/owtrad/places/owt_3734;Darhan;105.9228;49.4867;[{"uri":"http://sws.geonames/2031964","names":["Darhan"]}];;[{"id" : 14878, "variant" : "Darhan", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14879, "variant" : "Darkhan", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}];{Darhan,Darkhan}
1935;0101000020E6100000F7065F984C8D5A40AF25E4839E1D4940;owtrad;owt_3735;Suhbaatar;http://linkedplaces.org/owtrad/places/owt_3735;Suhbaatar;106.2078;50.2314;[{"uri":"http://sws.geonames/2029156","names":["Sühbaatar"]}];;[{"id" : 14881, "variant" : "Suhe Baatar", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14880, "variant" : "Suhbaatar", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14882, "variant" : "Suhe Batar", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14885, "variant" : "Sukhe-Bator", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14883, "variant" : "Sukhbaatar", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14884, "variant" : "Sukhe Batur", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}];{Suhbaatar,"Suhe Baatar","Suhe Batar",Sukhbaatar,"Sukhe Batur",Sukhe-Bator}
1938;0101000020E6100000910F7A36ABCA57400000000000204940;owtrad;owt_3738;Erzin;http://linkedplaces.org/owtrad/places/owt_3738;Erzin;95.1667;50.25;[{"uri":"http://sws.geonames/1506938","names":["Erzin"]}];;[{"id" : 14891, "variant" : "Bay-Tag", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14893, "variant" : "Saryg-Buluk", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14894, "variant" : "Saryg-Bulun", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14892, "variant" : "Erzin", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}];{Bay-Tag,Erzin,Saryg-Buluk,Saryg-Bulun}
1939;0101000020E6100000CDCCCCCCCCCC57400000000000804940;owtrad;owt_3739;Balgazyn;http://linkedplaces.org/owtrad/places/owt_3739;Balgazyn;95.2;51;[{"uri":"http://sws.geonames/1510960","names":["Balgazyn"]}];;[{"id" : 14896, "variant" : "Balgazin", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14895, "variant" : "Balgazik", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14897, "variant" : "Balgazun", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}, {"id" : 14898, "variant" : "Balgazyn", "source" : "www.fallingrain.com", "precision" : "exact", "identity" : "exact"}];{Balgazik,Balgazin,Balgazun,Balgazyn}
1940;0101000020E6100000DC9E20B1DDDD05C016A5846055354540;owtrad;owt_374;Najera;http://linkedplaces.org/owtrad/places/owt_374;Najera;-2.733333;42.416668;[{"uri":"http://sws.geonames/3115780","names":["Nájera"]}];;[{"id" : 1999, "variant" : "Najera", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 1999, "variant" : "Najera", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Najera}
