nodeid;names;lng;lat
afr_2307;[{"name" : "Gondar", "id" : "tmcDZm1300a_108a", "country" : "ET", "detail" : "nkn", "datastatus" : "exact"}];37.4667;12.6
afr_2308;[{"name" : "Aksum", "id" : "tmcDZm1300a_109a", "country" : "ET", "detail" : "nkn", "datastatus" : "exact"}];38.7158;14.1297
afr_2309;[{"name" : "Masawa", "id" : "tmcDZm1300a_110a", "country" : "ER", "detail" : "nkn", "datastatus" : "exact"}];39.45;15.6097
afr_2312;[{"name" : "Masinya", "id" : "tmcDZm1300a_060a", "country" : "TD", "detail" : "nkn", "datastatus" : "exact"}];16.1733;11.4014
afr_2313;[{"name" : "loc01-tmc050223", "id" : "tmcDZm1300a_051a", "country" : "NE", "detail" : "?Nguigmi ;N. of the lake", "datastatus" : "exact"},{"name" : "loc01-tmc050223", "id" : "tmcDZm1300b_020a", "country" : "NE", "detail" : "?Nguigmi ;N. of the lake", "datastatus" : "exact"}];13.1108;14.2528
afr_2314;[{"name" : "Yola Adamawa", "id" : "tmcDZm1300a_061a", "country" : "NG", "detail" : "nkn", "datastatus" : "exact"}];12.4833;9.2
afr_2315;[{"name" : "loc07-tmc050223", "id" : "tmcDZm1300a_094a", "country" : "TD", "detail" : "?Sarh=is it Massinda?", "datastatus" : "exact"}];18.3833;9.15
afr_2316;[{"name" : "Ndele", "id" : "tmcDZm1300a_095a", "country" : "CF", "detail" : "nkn", "datastatus" : "exact"}];20.6531;8.4092
afr_2317;[{"name" : "Kafi Kenji", "id" : "tmcDZm1300a_096a", "country" : "SD", "detail" : "nkn", "datastatus" : "exact"}];24.4167;9.2667
afr_2318;[{"name" : "Deim Zubair", "id" : "tmcDZm1300a_097a", "country" : "SD", "detail" : "nkn", "datastatus" : "exact"}];26.2167;7.7167
afr_2319;[{"name" : "Bauchi", "id" : "tmcDZm1300a_062a", "country" : "NG", "detail" : "nkn", "datastatus" : "exact"}];9.8442;10.3158
afr_2321;[{"name" : "Katsina", "id" : "tmcDZm1300a_067a", "country" : "NG", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Katsina", "id" : "tmcDZm1300b_024a", "country" : "NG", "detail" : "nkn", "datastatus" : "exact"}];7.5994;12.9978
afr_2322;[{"name" : "Sokoto", "id" : "tmcDZm1300a_069a", "country" : "NG", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Sokoto", "id" : "tmcDZm1300b_027a", "country" : "NG", "detail" : "nkn", "datastatus" : "exact"}];5.2314;13.0514
afr_2323;[{"name" : "Gwandu", "id" : "tmcDZm1300a_072a", "country" : "NG", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Gwandu", "id" : "tmcDZm1300b_027a", "country" : "NG", "detail" : "nkn", "datastatus" : "exact"}];4.65;12.5
afr_2324;[{"name" : "Kebbi", "id" : "tmcDZm1300a_073a", "country" : "NG", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Kebbi", "id" : "tmcDZm1300b_028a", "country" : "NG", "detail" : "nkn", "datastatus" : "exact"}];4.1975;12.4539
afr_2325;[{"name" : "Salaga", "id" : "tmcDZm1300b_025a", "country" : "GH", "detail" : "nkn", "datastatus" : "exact"}];-0.5167;8.55
afr_2325;[{"name" : "Salaga", "id" : "tmcDZm1300a_068a", "country" : "GH", "detail" : "nkn", "datastatus" : "exact"}];-.5167;8.55
afr_2326;[{"name" : "Say", "id" : "tmcDZm1300a_075a", "country" : "NE", "detail" : "nkn", "datastatus" : "exact"}];2.3597;13.1081
afr_2327;[{"name" : "Arbinda", "id" : "tmcDZm1300a_077a", "country" : "BF", "detail" : "nkn", "datastatus" : "exact"}];-.8664;14.2325
afr_2328;[{"name" : "Banjagara", "id" : "tmcDZm1300a_086a", "country" : "ML", "detail" : "nkn", "datastatus" : "exact"}];-3.6167;14.35
afr_2330;[{"name" : "Jenne", "id" : "tmcDZm1300a_078a", "country" : "ML", "detail" : "nkn", "datastatus" : "exact"}];-4.55;13.9
afr_2331;[{"name" : "Segu", "id" : "tmcDZm1300a_088a", "country" : "ML", "detail" : "nkn", "datastatus" : "exact"}];-6.2667;13.45
afr_2332;[{"name" : "loc04-tmc050223", "id" : "tmcDZm1300a_089a", "country" : "ML", "detail" : "?Toukoto", "datastatus" : "exact"}];-9.8833;13.45
afr_2333;[{"name" : "loc05-tmc050223", "id" : "tmcDZm1300a_090a", "country" : "ML", "detail" : "?Kayes", "datastatus" : "exact"}];-11.4333;14.45
afr_2334;[{"name" : "loc06-tmc050223", "id" : "tmcDZm1300a_091a", "country" : "SN", "detail" : "?Matam", "datastatus" : "exact"}];-13.25;15.6667
afr_2335;[{"name" : "Podor", "id" : "tmcDZm1300a_084a", "country" : "SN", "detail" : "nkn", "datastatus" : "exact"}];-14.95;16.6667
afr_2336;[{"name" : "Kankan", "id" : "tmcDZm1300a_080a", "country" : "GN", "detail" : "nkn", "datastatus" : "exact"}];-9.3;10.3833
afr_2337;[{"name" : "Timbo", "id" : "tmcDZm1300a_081a", "country" : "GN", "detail" : "nkn", "datastatus" : "exact"}];-11.8333;10.6333
afr_2338;[{"name" : "loc03-tmc050223", "id" : "tmcDZm1300a_084a", "country" : "SN", "detail" : "?Linguere", "datastatus" : "exact"}];-15.1167;15.4
afr_2339;[{"name" : "loc02-tmc050223", "id" : "tmcDZm1300a_082a", "country" : "SN", "detail" : "?Tambacounda", "datastatus" : "exact"}];-13.6667;13.7833
afr_2340;[{"name" : "Sambatikila", "id" : "tmcDZm1300a_079a", "country" : "CI", "detail" : "nkn", "datastatus" : "exact"}];-7.5689;9.8261
afr_2357;[{"name" : "loc16-tmc050223", "id" : "tmcDZm1300a_117a", "country" : "SD", "detail" : "?Fangak", "datastatus" : "exact"}];30.8842;9.0694
afr_2358;[{"name" : "qrd01-tmc050223", "id" : "tmcDZm1300a_028a", "country" : null, "detail" : "(?) N Thagza; E Taudeni; S Walata; W Shinqit", "datastatus" : "exact"},{"name" : "qrd01-tmc050223", "id" : "tmcDZm1300b_011a", "country" : "MR", "detail" : "(?) N Thagza; E Taudeni; S Walata; W Shinqit", "datastatus" : "exact"}];-7.1167;22.5167
afr_2359;[{"name" : "loc08-tmc050223", "id" : "tmcDZm1300a_053a", "country" : "SD", "detail" : "?Zuwayyah", "datastatus" : "exact"},{"name" : "loc08-tmc050223", "id" : "tmcDZm1300b_022a", "country" : "LY", "detail" : "?Zuwayyah", "datastatus" : "exact"}];24.8333;21.8667
afr_2360;[{"name" : "frk01-tmc050223", "id" : "tmcDZm1300a_052a", "country" : "SD", "detail" : "NW Kufra; NE Selima; S Kobi", "datastatus" : "exact"},{"name" : "frk01-tmc050223", "id" : "tmcDZm1300b_021a", "country" : "SD", "detail" : "NW Kufra; NE Selima; S Kobi", "datastatus" : "exact"}];28.0333;20.05
afr_2363;[{"name" : "loc11-tmc050223", "id" : "tmcDZm1300a_055a", "country" : "SD", "detail" : "?Rahib Wells", "datastatus" : "exact"},{"name" : "loc11-tmc050223", "id" : "tmcDZm1300b_031a", "country" : "SD", "detail" : "?Rahib Wells", "datastatus" : "exact"}];27.0667;17.55
afr_2364;[{"name" : "loc12-tmc050223", "id" : "tmcDZm1300a_056a", "country" : "SD", "detail" : "?Umm Luhayy; Qalti", "datastatus" : "exact"},{"name" : "loc12-tmc050223", "id" : "tmcDZm1300b_032a", "country" : "SD", "detail" : "?Umm Luhayy; Qalti", "datastatus" : "exact"}];25.8333;15.7
afr_2365;[{"name" : "loc13-tmc050223", "id" : "tmcDZm1300a_114a", "country" : "SD", "detail" : "?Waw", "datastatus" : "exact"}];28;7.7
afr_2366;[{"name" : "loc14-tmc050223", "id" : "tmcDZm1300a_115a", "country" : "SD", "detail" : "?Gogrial", "datastatus" : "exact"}];28.1167;8.5333
afr_2367;[{"name" : "loc15-tmc050223", "id" : "tmcDZm1300a_116a", "country" : "SD", "detail" : "?Bentiu", "datastatus" : "exact"}];29.8333;9.2333
afr_2368;[{"name" : "loc17-tmc050223", "id" : "tmcDZm1300a_119a", "country" : "SD", "detail" : "?Tawfiqiyah", "datastatus" : "exact"}];31.6294;9.4317
afr_2369;[{"name" : "loc18-tmc050223", "id" : "tmcDZm1300a_119a", "country" : "SD", "detail" : "?Malakal", "datastatus" : "exact"}];31.6561;9.5369
afr_2370;[{"name" : "loc19-tmc050223", "id" : "tmcDZm1300a_120a", "country" : "SD", "detail" : "?Kodok", "datastatus" : "exact"}];32.1167;9.8833
afr_2371;[{"name" : "loc20-tmc050223", "id" : "tmcDZm1300a_121a", "country" : "SD", "detail" : "?Malut", "datastatus" : "exact"}];32.2;10.4333
afr_2372;[{"name" : "loc21-tmc050223", "id" : "tmcDZm1300a_102a", "country" : "SD", "detail" : "?Kusti", "datastatus" : "exact"}];32.6667;13.1667
afr_2373;[{"name" : "loc22-tmc050223", "id" : "tmcDZm1300a_123a", "country" : "SD", "detail" : "?Ash Shurayk", "datastatus" : "exact"}];33.5667;18.8
afr_2374;[{"name" : "loc23-tmc050223", "id" : "tmcDZm1300a_124a", "country" : "SD", "detail" : "?Abu Hamad", "datastatus" : "exact"}];33.3167;19.5333
afr_2375;[{"name" : "qrd02-tmc050223", "id" : "tmcDZm1300a_064a", "country" : "NG", "detail" : "?nr Gusau", "datastatus" : "approx"},{"name" : "qrd02-tmc050223", "id" : "tmcDZm1300b_024a", "country" : "NG", "detail" : "?nr Gusau", "datastatus" : "approx"}];6.909;11.9107
